Title,Original,Enhanced 4K,Duration (s),Short
PIGstile,https://www.youtube.com/watch?v=Da3-JcXMnzQ,https://www.youtube.com/watch?v=Wo9NUN3a65E,900,
process is🔑is process,https://www.youtube.com/watch?v=J9poOhWeG54,https://www.youtube.com/watch?v=FrXcjHsuGZ0,15,yes
REFLECTION,https://www.youtube.com/watch?v=WO3jbQwqrxc,https://www.youtube.com/watch?v=XVpC9Q9uges,14,yes
"Republic of GEORGIA / drunk, GOD...",https://www.youtube.com/watch?v=w2zIO_8S3Ek,https://www.youtube.com/watch?v=PUuRv4DQHzE,1387,
Republic of GEORGIA / KMARA -- ENOUGH! / THE ROSE REVOLUTION,https://www.youtube.com/watch?v=KMclVtn2aoc,https://www.youtube.com/watch?v=FqqybYPUBgY,1761,
Republic of GEORGIA / TeaTime in TBILISI,https://www.youtube.com/watch?v=509HaQXlkL0,https://www.youtube.com/watch?v=tLK5WQb0weQ,1414,
RettungsMarsch 1913 - saving 20 seconds (Long Version) 21:30,https://www.youtube.com/watch?v=AtuAAkLGRPo,https://www.youtube.com/watch?v=gY_wU9Pj8ts,1291,
roadside 🇧🇹BHUTAN🇧🇹,https://www.youtube.com/watch?v=_aB3Pc7krPw,https://www.youtube.com/watch?v=x69hzMZWyDA,15,yes
RUSSIA / DEAD END,https://www.youtube.com/watch?v=Kv7e-5ii-Ew,https://www.youtube.com/watch?v=5yWe8uhcHSY,1344,
RUSSIA / OLD PONDS (English Edition),https://www.youtube.com/watch?v=kUmV1BDCnH4,https://www.youtube.com/watch?v=f7t3xaj4tv4,1939,
RUSSIA / REALtime,https://www.youtube.com/watch?v=c62HSWqoxKo,https://www.youtube.com/watch?v=cCoHgv_NzQ0,2133,
RUSSIA / SUITE 702,https://www.youtube.com/watch?v=Y3Zb55v7sM4,https://www.youtube.com/watch?v=5RUc6lSUT08,1145,
RUSSIA / TRAPPED REALITY,https://www.youtube.com/watch?v=fuNkC-JNzEc,https://www.youtube.com/watch?v=fuNkC-JNzEc,3572,
RUSSIA / ÖREG TÓ (Hungarian Edition),https://www.youtube.com/watch?v=roeVmHWKobs,https://www.youtube.com/watch?v=fHJww_VJXBI,1941,
SINGING BEAUTY,https://www.youtube.com/watch?v=cbAE4XrqJqc,https://www.youtube.com/watch?v=qchCSxOixLw,14,yes
"Suchen, Schnüffeln, Scharren... Zupacken",https://www.youtube.com/watch?v=-wKR0jcUVMU,https://www.youtube.com/watch?v=ZDyIwNFQdNo,1140,
THE MESSAGE OF COLOR,https://www.youtube.com/watch?v=YX0zzFIzkW4,https://www.youtube.com/watch?v=th4ZWCrI5v0,10,yes
TIBET / Everest Base Camp,https://www.youtube.com/watch?v=41GCHnsBV8Y,https://www.youtube.com/watch?v=41GCHnsBV8Y,279,
TIBET / LHASA Barkhor Square – Potala Palace,https://www.youtube.com/watch?v=Jp2_TDjkTQo,https://www.youtube.com/watch?v=uASqQlACut0,599,
TIBET / Rongbuk Monastery,https://www.youtube.com/watch?v=otseQlbkGRE,https://www.youtube.com/watch?v=hNBwopvpdIg,503,
TIBET / Sandpainting Mandalas – Kumbum Monastery,https://www.youtube.com/watch?v=Md53nopQbck,https://www.youtube.com/watch?v=0m3zbyA2mvA,323,
TIBET / Sera Monastery –  Debating Monks,https://www.youtube.com/watch?v=FPuC6oD03Ic,https://www.youtube.com/watch?v=P8Y5qHfGCDo,985,
TIBET – till & mill,https://www.youtube.com/watch?v=WPV3ysAX_Dg,https://www.youtube.com/watch?v=DAgold9grXM,390,
to TOO  to TOOO  to TOOOO,https://www.youtube.com/watch?v=wzgdTKkEQCo,https://www.youtube.com/watch?v=LEJoMlPECw4,15,yes
TRAPPED REALITY - Short Stories from Moscow,https://www.youtube.com/watch?v=T0Z6t9zG0rw,https://www.youtube.com/watch?v=KCq96qHRcqE,1863,
UNEXPECTEDLY SIGNIFICANT,https://www.youtube.com/watch?v=gDSPYgEWlMc,https://www.youtube.com/watch?v=JJ6aOALUHbA,7,yes
VERGANGENHEIT als VERMÄCHTNIS – work in progress 1.0,https://www.youtube.com/watch?v=u9LHBYxyj5w,https://www.youtube.com/watch?v=aXnqLQMqkfM,2701,
Visual Thinking - inner landscapes - out of a black whole,https://www.youtube.com/watch?v=M7pLqiSxJ8c,https://www.youtube.com/watch?v=k6dRt2wPuhQ,286,
WE ARE THE WORLD,https://www.youtube.com/watch?v=f4x_p_zRons,https://www.youtube.com/watch?v=HZGBvXvqLE4,15,yes
WE🔍CANNOT🔍IMAGINE,https://www.youtube.com/watch?v=vpNjxCy99Fs,https://www.youtube.com/watch?v=EbfVyXBLSnA,15,yes
What‘s your name?,https://www.youtube.com/watch?v=wAUvvktUoOc,https://www.youtube.com/watch?v=59Nw9h3YfzA,13,yes
Where? Where? 🤸‍♀️‼️HERE‼️🤸‍♀️,https://www.youtube.com/watch?v=xiFVzz_x5PU,https://www.youtube.com/watch?v=cO2ajIrbkzI,15,yes
WHY?🤫WHY?🤪WHY?,https://www.youtube.com/watch?v=b1Vst4OlmWY,https://www.youtube.com/watch?v=jd2WjDEL2TA,15,yes
WILL TO SURVIVE,https://www.youtube.com/watch?v=-77BxiZaqeQ,https://www.youtube.com/watch?v=Sr9YpmpgsD4,15,yes
Wunderblock,https://www.youtube.com/watch?v=86Njsv89dlo,https://www.youtube.com/watch?v=M5fU8RAdKik,191,yes
WUNDERBLOCK,https://www.youtube.com/watch?v=8Nj1D0wWu1I,https://www.youtube.com/watch?v=sbAU7WBYJgI,15,yes
…for DISCOVERY 💡,https://www.youtube.com/watch?v=ytPO9BNAVLg,https://www.youtube.com/watch?v=4TLNsxxoPYk,15,yes
🎁PRESENT🎁,https://www.youtube.com/watch?v=0lyreCd3gdY,https://www.youtube.com/watch?v=6LXZJCfR0Mc,15,yes
🐔C🐓H🐔I🐓C🐔K🐓E🐔N🐓,https://www.youtube.com/watch?v=2BZktntJTUk,https://www.youtube.com/watch?v=66QMN8bgCHQ,15,yes
😃EVERY✍️HAND✍️Is different✍️,https://www.youtube.com/watch?v=EG4aSSkrKT8,https://www.youtube.com/watch?v=m8FISn4mM48,15,yes
😴DREAM 🛌WORLD😴,https://www.youtube.com/watch?v=iLdhxG2KPoM,https://www.youtube.com/watch?v=tgxob6TgOdg,15,yes
🙂CHICKEN🐓WORLD🙂,https://www.youtube.com/watch?v=eaeJozXNBPA,https://www.youtube.com/watch?v=66QMN8bgCHQ,15,yes
🦜🐈🐛🪰🦅🐒🐸,https://www.youtube.com/watch?v=hFL_Ct-qBRI,https://www.youtube.com/watch?v=lZio59r1fbE,15,yes
Sort of Organic,https://www.youtube.com/watch?v=j8qYkAzhyQg,https://www.youtube.com/watch?v=5izweTogeP8,15,yes
CRASH & CREATE,https://www.youtube.com/watch?v=3GBaRGYL-1E,https://www.youtube.com/watch?v=uSkw9cGaSd8,15,yes
CHALANDAMARZ,,https://www.youtube.com/watch?v=2M0uvkOpa2U,119,yes
LE MONDE DE JÜRG DA VAZ,https://www.youtube.com/watch?v=vdJOMp68o40,https://www.youtube.com/watch?v=rM03kCk9qeE,15,yes
PECK🐔the🐔PAD,https://www.youtube.com/watch?v=A4fZix5sx_I,https://www.youtube.com/watch?v=GBPhmmF9qnw,15,yes
the OTHER EYE,https://www.youtube.com/watch?v=NqqHRvsDek8,https://www.youtube.com/watch?v=jDTr4LFPmp4,15,yes
🌝oo🌚,https://www.youtube.com/watch?v=rXUD-jxOCuM,https://www.youtube.com/watch?v=iciskkOZYh4,15,yes
Fremde Sprache,https://www.youtube.com/watch?v=cWGbmkCvGHA,https://www.youtube.com/watch?v=qHUriyKJvJs,88,yes
Kamchatka,https://www.youtube.com/watch?v=N1ZiC_cgKHs,https://www.youtube.com/watch?v=VN0qmx-HARM,32,yes
Kamchatka,https://www.youtube.com/watch?v=N1ZiC_cgKHs,https://www.youtube.com/watch?v=FnH4J5d8KW4,20,yes
It’s a Family Game,https://www.youtube.com/watch?v=nt_PzgdjJ2Y,https://www.youtube.com/watch?v=FDn0G-ANSxk,15,yes
🐔C🐓H🐔I🐓C🐔K🐓E🐔N🐓,https://www.youtube.com/watch?v=2BZktntJTUk,https://www.youtube.com/watch?v=QWSQCmntTFk,15,yes
🙂CHICKEN🐓WORLD🙂,https://www.youtube.com/watch?v=eaeJozXNBPA,https://www.youtube.com/watch?v=uGalcoh4XWc,15,yes
🎁PRESENT🎁,https://www.youtube.com/watch?v=0lyreCd3gdY,https://www.youtube.com/watch?v=68DcATcFlX4,15,yes
?🎞?🎥?,https://www.youtube.com/watch?v=J42Hm1gVt_U,https://www.youtube.com/watch?v=--cUjESX7pQ,15,yes
the OTHER EYE,https://www.youtube.com/watch?v=NqqHRvsDek8,https://www.youtube.com/watch?v=0lcxlcclKZM,15,yes
MATTER OF CHANCE,https://www.youtube.com/watch?v=RkRryabSdiw,https://www.youtube.com/watch?v=0QkDF3ZrkNE,15,yes
Bei meiner Ehre…,https://www.youtube.com/watch?v=aqs-jHb2pnk,https://www.youtube.com/watch?v=Rj3sFNk2jis,15,yes
nur für DOKUMENT‼️,https://www.youtube.com/watch?v=dqiDqnYOHrU,https://www.youtube.com/watch?v=YPeWITnIjFw,15,yes
🐔C🐓H🐔I🐓C🐔K🐓E🐔N🐓,https://www.youtube.com/watch?v=2BZktntJTUk,https://www.youtube.com/watch?v=aLR0kCt5PcY,15,yes
HELLO 👋 HELLO,https://www.youtube.com/watch?v=BLP5KBjSHaU,https://www.youtube.com/watch?v=AqQc9uBhNbU,15,yes
MY STUDENTS,https://www.youtube.com/watch?v=J5Sn3T0eSFU,https://www.youtube.com/watch?v=oL2n5rBY2GI,15,yes
CABBAGE NETWORK,https://www.youtube.com/watch?v=P5eG6xQ1gJg,https://www.youtube.com/watch?v=o_754MRk4ZE,15,yes
WHY?🤫WHY?🤪WHY?,https://www.youtube.com/watch?v=b1Vst4OlmWY,https://www.youtube.com/watch?v=EyDK0GeKkmU,15,yes
peck🐓CHICKEN🐓 peck,,https://www.youtube.com/watch?v=V7UwVrxz4fk,15,yes
🌝oo🌚,https://www.youtube.com/watch?v=rXUD-jxOCuM,https://www.youtube.com/watch?v=4QTgJf8Pr44,15,yes
ALICE in WONDERLAND,,https://www.youtube.com/watch?v=CkiCX8lHQME,15,yes
